count;year;gender_event;gender_athlete;event;type;family_name_ok;given_name_ok;country;continent;country_career;athlete_ok;medal
26116;2007;Men;Men;1500m Freestyle;Individual;Sawrymowicz;Mateusz;POL;Europe;POL;Mateusz Sawrymowicz (POL);Gold
26117;2007;Men;Men;1500m Freestyle;Individual;Prilukov;Yury;RUS;Europe;RUS;Yury Prilukov (RUS);Silver
26118;2007;Men;Men;1500m Freestyle;Individual;Davies;David;GBR;Europe;GBR;David Davies (GBR);Bronze
26171;2007;Men;Men;50m Backstroke;Individual;Zandberg;Gerhard;RSA;Africa;RSA;Gerhard Zandberg (RSA);Gold
26172;2007;Men;Men;50m Backstroke;Individual;Rupprath;Thomas;GER;Europe;GER;Thomas Rupprath (GER);Silver
26173;2007;Men;Men;50m Backstroke;Individual;Tancock;Liam;GBR;Europe;GBR;Liam Tancock (GBR);Bronze
26293;2007;Men;Men;100m Backstroke;Individual;Peirsol;Aaron;USA;America;USA;Aaron Peirsol (USA);Gold
26294;2007;Men;Men;100m Backstroke;Individual;Lochte;Ryan;USA;America;USA;Ryan Lochte (USA);Silver
26295;2007;Men;Men;100m Backstroke;Individual;Tancock;Liam;GBR;Europe;GBR;Liam Tancock (GBR);Bronze
26407;2007;Men;Men;200m Backstroke;Individual;Lochte;Ryan;USA;America;USA;Ryan Lochte (USA);Gold
26408;2007;Men;Men;200m Backstroke;Individual;Peirsol;Aaron;USA;America;USA;Aaron Peirsol (USA);Silver
26409;2007;Men;Men;200m Backstroke;Individual;Rogan;Markus;AUT;Europe;AUT;Markus Rogan (AUT);Bronze
26486;2009;Women;Women;50m Freestyle;Individual;Steffen;Britta;GER;Europe;GER;Britta Steffen (GER);Gold
26487;2009;Women;Women;50m Freestyle;Individual;Alshammar;Therese;SWE;Europe;SWE;Therese Alshammar (SWE);Silver
26488;2009;Women;Women;50m Freestyle;Individual;Campbell;Cate;AUS;Oceania;AUS;Cate Campbell (AUS);Bronze
26489;2009;Women;Women;50m Freestyle;Individual;Veldhuis;Marleen;NED;Europe;NED;Marleen Veldhuis (NED);Bronze
